"N-mice";"10";;;"10";;;"10";;;"10";;;"10";;;"10";;;"10";;;"10";;;"10";;;"10";;;"10";;;"10";;;"10";;;"10";;;"10";;;"10";;;"10";;;"10";;;"10";;;"10";;;"10";;;"10";;;"10";;;"10";;;"10";;;"10";;;"10";;;"10";;;"10";;;"10";;
"[reporter]";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks"
"[all run data]";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks"
;"5";"10";"0";"5";"10";"0";"5";"10";"0";"5";"10";"0";"5";"10";"0";"5";"10";"0";"5";"10";"0";"5";"10";"0";"5";"10";"0";"5";"10";"0";"5";"10";"0";"5";"10";"0";"5";"10";"0";"5";"10";"0";"5";"10";"0";"5";"10";"0";"5";"10";"0";"5";"10";"0";"5";"10";"0";"5";"10";"0";"5";"10";"0";"5";"10";"0";"5";"10";"0";"5";"10";"0";"5";"10";"0";"5";"10";"0";"5";"10";"0";"5";"10";"0";"5";"10";"0";"5";"10";"0"
;"5";"10";"1";"5";"10";"1";"5";"10";"1";"5";"10";"1";"5";"9";"1";"5";"8";"1";"5";"8";"1";"5";"10";"1";"5";"9";"1";"5";"9";"1";"5";"10";"1";"5";"10";"1";"5";"9";"1";"5";"10";"1";"5";"10";"1";"5";"10";"1";"5";"9";"1";"5";"9";"1";"5";"9";"1";"5";"10";"1";"5";"10";"1";"5";"10";"1";"5";"10";"1";"5";"10";"1";"5";"10";"1";"5";"10";"1";"5";"10";"1";"5";"10";"1";"5";"10";"1";"5";"10";"1"
;"5";"10";"2";"5";"9";"2";"5";"10";"2";"5";"9";"2";"5";"9";"2";"5";"8";"2";"5";"8";"2";"5";"10";"2";"5";"8";"2";"5";"8";"2";"5";"10";"2";"5";"10";"2";"5";"8";"2";"5";"10";"2";"5";"10";"2";"5";"10";"2";"5";"9";"2";"5";"9";"2";"5";"9";"2";"5";"10";"2";"5";"9";"2";"5";"10";"2";"5";"10";"2";"5";"10";"2";"5";"10";"2";"5";"9";"2";"5";"8";"2";"5";"9";"2";"5";"10";"2";"5";"10";"2"
;"5";"10";"3";"5";"9";"3";"5";"10";"3";"5";"8";"3";"5";"9";"3";"5";"8";"3";"5";"7";"3";"5";"10";"3";"5";"8";"3";"5";"8";"3";"5";"10";"3";"5";"10";"3";"5";"7";"3";"5";"10";"3";"5";"9";"3";"5";"9";"3";"5";"9";"3";"5";"8";"3";"5";"9";"3";"5";"9";"3";"5";"9";"3";"5";"9";"3";"5";"10";"3";"5";"9";"3";"5";"10";"3";"5";"9";"3";"5";"8";"3";"5";"9";"3";"5";"10";"3";"5";"10";"3"
;"5";"9";"4";"5";"9";"4";"5";"10";"4";"5";"8";"4";"5";"9";"4";"5";"8";"4";"5";"6";"4";"5";"10";"4";"5";"7";"4";"5";"8";"4";"5";"10";"4";"5";"10";"4";"5";"7";"4";"5";"6";"4";"5";"9";"4";"5";"7";"4";"5";"9";"4";"5";"7";"4";"5";"8";"4";"5";"8";"4";"5";"9";"4";"5";"8";"4";"5";"9";"4";"5";"9";"4";"5";"10";"4";"5";"9";"4";"5";"8";"4";"5";"9";"4";"5";"10";"4";"5";"9";"4"
;"5";"9";"5";"5";"9";"5";"5";"9";"5";"5";"7";"5";"5";"9";"5";"5";"8";"5";"5";"6";"5";"5";"10";"5";"5";"6";"5";"5";"8";"5";"5";"10";"5";"5";"10";"5";"5";"7";"5";"5";"5";"5";"5";"8";"5";"5";"5";"5";"5";"9";"5";"5";"7";"5";"5";"8";"5";"5";"8";"5";"5";"9";"5";"5";"8";"5";"5";"9";"5";"5";"9";"5";"5";"10";"5";"5";"9";"5";"5";"7";"5";"5";"9";"5";"5";"9";"5";"5";"9";"5"
;"5";"8";"6";"5";"9";"6";"5";"9";"6";"5";"7";"6";"5";"8";"6";"5";"8";"6";"5";"6";"6";"5";"8";"6";"5";"6";"6";"5";"8";"6";"5";"9";"6";"5";"10";"6";"5";"7";"6";"5";"5";"6";"5";"8";"6";"5";"5";"6";"5";"9";"6";"5";"7";"6";"5";"8";"6";"5";"8";"6";"5";"8";"6";"5";"7";"6";"5";"9";"6";"5";"8";"6";"5";"10";"6";"5";"8";"6";"5";"7";"6";"5";"9";"6";"5";"7";"6";"5";"9";"6"
;"5";"7";"7";"5";"7";"7";"5";"8";"7";"5";"7";"7";"5";"7";"7";"5";"7";"7";"5";"5";"7";"5";"7";"7";"5";"6";"7";"5";"7";"7";"5";"9";"7";"5";"10";"7";"5";"7";"7";"5";"5";"7";"5";"8";"7";"5";"5";"7";"5";"7";"7";"5";"7";"7";"5";"7";"7";"5";"7";"7";"5";"7";"7";"5";"7";"7";"5";"9";"7";"5";"8";"7";"5";"10";"7";"5";"8";"7";"5";"7";"7";"5";"8";"7";"5";"7";"7";"5";"9";"7"
;"5";"7";"8";"5";"7";"8";"5";"8";"8";"5";"7";"8";"5";"7";"8";"5";"7";"8";"5";"5";"8";"5";"6";"8";"5";"6";"8";"5";"7";"8";"5";"8";"8";"5";"9";"8";"5";"7";"8";"5";"5";"8";"5";"6";"8";"5";"5";"8";"5";"7";"8";"5";"7";"8";"5";"7";"8";"5";"6";"8";"5";"7";"8";"5";"7";"8";"5";"9";"8";"5";"8";"8";"5";"10";"8";"5";"8";"8";"5";"7";"8";"5";"8";"8";"5";"6";"8";"5";"9";"8"
