"reproduce?";"true";;;"true";;;"true";;;"true";;;"true";;;"true";;;"true";;;"true";;;"true";;;"true";;;"true";;;"true";;;"true";;;"true";;;"true";;;"true";;;"true";;;"true";;;"true";;;"true";;;"true";;;"true";;;"true";;;"true";;;"true";;;"true";;;"true";;;"true";;;"true";;;"true";;
"[reporter]";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks"
"[final]";"25";"1";"61";"23";"1";"41";"27";"1";"81";"25";"1";"51";"29";"1";"55";"25";"1";"57";"29";"1";"48";"24";"1";"85";"22";"1";"30";"29";"1";"75";"30";"1";"42";"22";"1";"53";"23";"1";"42";"21";"1";"50";"29";"1";"59";"25";"1";"65";"24";"1";"43";"26";"1";"35";"24";"1";"80";"23";"1";"57";"21";"1";"44";"25";"3";"39";"29";"2";"41";"25";"1";"38";"21";"1";"53";"23";"1";"45";"27";"1";"71";"21";"1";"60";"27";"1";"38";"18";"1";"53"
"[min]";"5";"1";"0";"5";"1";"0";"5";"1";"0";"5";"1";"0";"5";"1";"0";"5";"1";"0";"5";"1";"0";"5";"1";"0";"5";"1";"0";"5";"1";"0";"5";"1";"0";"5";"1";"0";"5";"1";"0";"5";"1";"0";"5";"1";"0";"5";"1";"0";"5";"1";"0";"5";"1";"0";"5";"1";"0";"5";"1";"0";"5";"1";"0";"5";"3";"0";"5";"2";"0";"5";"1";"0";"5";"1";"0";"5";"1";"0";"5";"1";"0";"5";"1";"0";"5";"1";"0";"5";"1";"0"
"[max]";"25";"12";"61";"23";"10";"41";"27";"13";"81";"25";"11";"51";"29";"13";"55";"25";"11";"57";"29";"12";"48";"24";"10";"85";"22";"10";"30";"29";"15";"75";"30";"12";"42";"22";"10";"53";"23";"11";"42";"21";"10";"50";"29";"13";"59";"25";"11";"65";"24";"11";"43";"26";"12";"35";"24";"11";"80";"23";"11";"57";"21";"10";"44";"25";"13";"39";"29";"14";"41";"25";"10";"38";"21";"10";"53";"23";"11";"45";"27";"12";"71";"21";"10";"60";"27";"12";"38";"18";"11";"53"
"[mean]";"11.258064516129032";"8.387096774193548";"30.5";"10.833333333333334";"6.476190476190476";"20.5";"9.24390243902439";"10.378048780487806";"40.5";"14.423076923076923";"5.711538461538462";"25.5";"14.785714285714286";"7.392857142857143";"27.5";"11.39655172413793";"7.896551724137931";"28.5";"15.224489795918368";"7.387755102040816";"24";"17.488372093023255";"4.232558139534884";"42.5";"13.096774193548388";"5.225806451612903";"15";"12.223684210526315";"10.5";"37.5";"14.465116279069768";"7.441860465116279";"21";"12.648148148148149";"5.833333333333333";"26.5";"11.30232558139535";"7.744186046511628";"21";"11.803921568627452";"6.313725490196078";"25";"14.25";"7.9";"29.5";"13.93939393939394";"6.2727272727272725";"32.5";"16.022727272727273";"4.909090909090909";"21.5";"13.277777777777779";"7.194444444444445";"17.5";"12.716049382716049";"6.419753086419753";"40";"10.689655172413794";"7.724137931034483";"28.5";"15.044444444444444";"3.6222222222222222";"22";"15.1";"7.225";"19.5";"14.571428571428571";"8.404761904761905";"20.5";"13.794871794871796";"6.205128205128205";"19";"11.703703703703704";"6.203703703703703";"26.5";"10.23913043478261";"8.08695652173913";"22.5";"13.791666666666666";"7.208333333333333";"35.5";"10.80327868852459";"6.721311475409836";"30";"12.820512820512821";"7.205128205128205";"19";"10.185185185185185";"7.37037037037037";"26.5"
"[steps]";"61";"61";"61";"41";"41";"41";"81";"81";"81";"51";"51";"51";"55";"55";"55";"57";"57";"57";"48";"48";"48";"85";"85";"85";"30";"30";"30";"75";"75";"75";"42";"42";"42";"53";"53";"53";"42";"42";"42";"50";"50";"50";"59";"59";"59";"65";"65";"65";"43";"43";"43";"35";"35";"35";"80";"80";"80";"57";"57";"57";"44";"44";"44";"39";"39";"39";"41";"41";"41";"38";"38";"38";"53";"53";"53";"45";"45";"45";"71";"71";"71";"60";"60";"60";"38";"38";"38";"53";"53";"53"

"[all run data]";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks"
;"5";"10";"0";"5";"10";"0";"5";"10";"0";"5";"10";"0";"5";"10";"0";"5";"10";"0";"5";"10";"0";"5";"10";"0";"5";"10";"0";"5";"10";"0";"5";"10";"0";"5";"10";"0";"5";"10";"0";"5";"10";"0";"5";"10";"0";"5";"10";"0";"5";"10";"0";"5";"10";"0";"5";"10";"0";"5";"10";"0";"5";"10";"0";"5";"10";"0";"5";"10";"0";"5";"10";"0";"5";"10";"0";"5";"10";"0";"5";"10";"0";"5";"10";"0";"5";"10";"0";"5";"10";"0"
;"5";"10";"1";"5";"10";"1";"5";"11";"1";"5";"10";"1";"5";"11";"1";"5";"10";"1";"5";"11";"1";"5";"10";"1";"6";"9";"1";"5";"12";"1";"5";"12";"1";"6";"9";"1";"5";"10";"1";"5";"10";"1";"5";"11";"1";"5";"10";"1";"5";"10";"1";"5";"10";"1";"5";"10";"1";"5";"10";"1";"5";"10";"1";"5";"10";"1";"5";"10";"1";"5";"9";"1";"5";"10";"1";"5";"10";"1";"5";"10";"1";"5";"10";"1";"5";"11";"1";"5";"10";"1"
;"5";"10";"2";"5";"10";"2";"5";"11";"2";"5";"10";"2";"5";"11";"2";"5";"10";"2";"6";"11";"2";"5";"10";"2";"7";"9";"2";"5";"12";"2";"5";"12";"2";"6";"9";"2";"5";"11";"2";"5";"10";"2";"5";"12";"2";"5";"10";"2";"5";"11";"2";"5";"10";"2";"5";"10";"2";"5";"10";"2";"5";"9";"2";"5";"11";"2";"5";"10";"2";"7";"8";"2";"5";"10";"2";"5";"10";"2";"5";"10";"2";"5";"10";"2";"5";"11";"2";"5";"10";"2"
