"[all run data]";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks"
;"5";"10";"11";"5";"9";"11";"5";"10";"11";"5";"9";"11";"7";"9";"11";"7";"9";"11";"5";"9";"11";"7";"9";"11";"8";"8";"11";"7";"9";"11"
;"5";"10";"12";"5";"9";"12";"6";"9";"12";"6";"9";"12";"7";"9";"12";"7";"9";"12";"5";"9";"12";"7";"9";"12";"9";"5";"12";"7";"9";"12"
;"6";"9";"13";"5";"9";"13";"6";"9";"13";"7";"9";"13";"7";"9";"13";"8";"8";"13";"5";"9";"13";"7";"9";"13";"10";"5";"13";"7";"9";"13"
;"7";"9";"14";"5";"9";"14";"7";"9";"14";"7";"9";"14";"7";"9";"14";"10";"7";"14";"6";"9";"14";"8";"7";"14";"13";"4";"14";"6";"9";"14"
;"7";"7";"15";"5";"9";"15";"7";"8";"15";"7";"9";"15";"7";"9";"15";"11";"6";"15";"6";"9";"15";"9";"7";"15";"14";"4";"15";"6";"9";"15"
;"7";"7";"16";"5";"9";"16";"8";"8";"16";"7";"9";"16";"7";"9";"16";"12";"6";"16";"7";"8";"16";"9";"7";"16";"16";"4";"16";"6";"9";"16"
;"8";"7";"17";"5";"9";"17";"8";"8";"17";"7";"9";"17";"7";"9";"17";"13";"6";"17";"8";"8";"17";"10";"7";"17";"16";"4";"17";"6";"9";"17"
;"9";"7";"18";"5";"9";"18";"11";"6";"18";"7";"9";"18";"7";"8";"18";"13";"6";"18";"9";"8";"18";"10";"7";"18";"16";"3";"18";"6";"9";"18"
;"9";"7";"19";"5";"9";"19";"13";"5";"19";"7";"9";"19";"7";"8";"19";"13";"6";"19";"9";"8";"19";"11";"7";"19";"16";"3";"19";"6";"9";"19"
;"9";"7";"20";"5";"9";"20";"14";"4";"20";"7";"9";"20";"7";"8";"20";"13";"6";"20";"10";"7";"20";"11";"7";"20";"16";"3";"20";"6";"8";"20"
;"10";"7";"21";"5";"9";"21";"14";"4";"21";"7";"9";"21";"8";"8";"21";"13";"6";"21";"11";"7";"21";"11";"7";"21";"17";"3";"21";"7";"8";"21"
;"10";"7";"22";"5";"9";"22";"15";"4";"22";"7";"9";"22";"9";"8";"22";"14";"5";"22";"11";"7";"22";"11";"7";"22";"18";"3";"22";"8";"8";"22"
;"11";"7";"23";"5";"9";"23";"16";"4";"23";"7";"9";"23";"9";"8";"23";"14";"5";"23";"11";"7";"23";"12";"6";"23";"18";"3";"23";"8";"8";"23"
;"11";"6";"24";"6";"8";"24";"16";"4";"24";"7";"9";"24";"8";"8";"24";"15";"5";"24";"11";"6";"24";"12";"6";"24";"18";"3";"24";"8";"8";"24"
;"12";"6";"25";"6";"8";"25";"17";"4";"25";"7";"9";"25";"8";"8";"25";"15";"5";"25";"11";"5";"25";"12";"6";"25";"18";"3";"25";"8";"8";"25"
;"12";"6";"26";"7";"7";"26";"17";"3";"26";"7";"9";"26";"8";"8";"26";"15";"5";"26";"13";"5";"26";"12";"6";"26";"18";"3";"26";"8";"8";"26"
;"13";"6";"27";"7";"7";"27";"17";"3";"27";"7";"9";"27";"8";"8";"27";"15";"5";"27";"15";"5";"27";"13";"6";"27";"18";"3";"27";"8";"8";"27"
;"13";"6";"28";"8";"7";"28";"19";"2";"28";"7";"9";"28";"8";"8";"28";"15";"5";"28";"15";"5";"28";"13";"6";"28";"19";"2";"28";"8";"8";"28"
;"13";"6";"29";"9";"6";"29";"21";"2";"29";"7";"9";"29";"9";"7";"29";"15";"4";"29";"15";"5";"29";"14";"5";"29";"20";"2";"29";"8";"8";"29"
;"14";"5";"30";"9";"6";"30";"21";"2";"30";"7";"9";"30";"9";"7";"30";"16";"4";"30";"15";"5";"30";"14";"5";"30";"20";"2";"30";"8";"8";"30"
;"14";"5";"31";"9";"6";"31";"21";"2";"31";"7";"9";"31";"9";"7";"31";"16";"4";"31";"16";"4";"31";"15";"5";"31";"20";"2";"31";"8";"8";"31"
;"14";"4";"32";"9";"6";"32";"21";"2";"32";"7";"9";"32";"9";"7";"32";"16";"4";"32";"18";"2";"32";"15";"5";"32";"21";"1";"32";"8";"8";"32"
;"15";"4";"33";"9";"6";"33";"21";"2";"33";"7";"9";"33";"10";"7";"33";"17";"4";"33";"20";"1";"33";"15";"5";"33";"22";"1";"33";"8";"8";"33"
;"16";"4";"34";"10";"5";"34";"21";"2";"34";"7";"9";"34";"10";"7";"34";"17";"4";"34";"23";"1";"34";"15";"5";"34";"22";"1";"34";"8";"8";"34"
;"16";"3";"35";"11";"5";"35";"21";"2";"35";"7";"9";"35";"10";"7";"35";"18";"3";"35";"23";"1";"35";"15";"5";"35";"22";"1";"35";"8";"8";"35"
;"17";"3";"36";"11";"5";"36";"21";"2";"36";"7";"9";"36";"10";"7";"36";"19";"3";"36";;;;"15";"5";"36";"22";"1";"36";"8";"8";"36"
;"18";"3";"37";"12";"5";"37";"21";"2";"37";"7";"9";"37";"10";"7";"37";"19";"3";"37";;;;"16";"4";"37";"22";"1";"37";"8";"8";"37"
;"19";"3";"38";"12";"5";"38";"22";"1";"38";"7";"9";"38";"10";"7";"38";"19";"3";"38";;;;"17";"4";"38";"22";"1";"38";"8";"8";"38"
;"19";"3";"39";"12";"5";"39";"22";"1";"39";"7";"9";"39";"11";"6";"39";"19";"3";"39";;;;"17";"4";"39";"22";"1";"39";"9";"7";"39"
;"19";"3";"40";"13";"5";"40";"23";"1";"40";"7";"9";"40";"13";"5";"40";"19";"3";"40";;;;"17";"4";"40";"22";"1";"40";"9";"7";"40"
;"19";"3";"41";"13";"5";"41";"23";"1";"41";"7";"9";"41";"13";"5";"41";"19";"2";"41";;;;"17";"4";"41";"22";"1";"41";"10";"6";"41"
;"19";"3";"42";"13";"5";"42";"23";"1";"42";"7";"9";"42";"13";"5";"42";"20";"2";"42";;;;"17";"4";"42";"22";"1";"42";"10";"6";"42"
;"19";"3";"43";"13";"5";"43";"23";"1";"43";"7";"8";"43";"14";"5";"43";"20";"2";"43";;;;"17";"4";"43";"22";"1";"43";"10";"6";"43"
;"19";"3";"44";"13";"5";"44";"23";"1";"44";"7";"8";"44";"15";"3";"44";"20";"2";"44";;;;"17";"4";"44";"22";"1";"44";"10";"6";"44"
;"19";"3";"45";"13";"5";"45";;;;"8";"8";"45";"16";"3";"45";"21";"2";"45";;;;"18";"3";"45";"22";"1";"45";"10";"6";"45"
;"19";"3";"46";"13";"5";"46";;;;"8";"8";"46";"16";"3";"46";"22";"1";"46";;;;"19";"3";"46";"22";"1";"46";"11";"5";"46"
;"19";"3";"47";"13";"5";"47";;;;"9";"8";"47";"16";"2";"47";"22";"1";"47";;;;"20";"2";"47";"22";"1";"47";"12";"5";"47"
;"20";"2";"48";"13";"5";"48";;;;"9";"8";"48";"17";"2";"48";"22";"1";"48";;;;;;;"22";"1";"48";"12";"5";"48"
;"20";"2";"49";"13";"5";"49";;;;"9";"8";"49";"17";"2";"49";"23";"1";"49";;;;;;;"22";"1";"49";"13";"4";"49"
;"20";"2";"50";"14";"4";"50";;;;"9";"8";"50";"19";"2";"50";"23";"1";"50";;;;;;;"22";"1";"50";"13";"3";"50"
;"21";"2";"51";"15";"3";"51";;;;"9";"8";"51";"20";"2";"51";"23";"1";"51";;;;;;;"22";"1";"51";"14";"3";"51"
;"21";"2";"52";"15";"3";"52";;;;"9";"8";"52";"21";"1";"52";"23";"1";"52";;;;;;;"22";"1";"52";"14";"3";"52"
;"21";"2";"53";"17";"2";"53";;;;"9";"8";"53";"22";"1";"53";"23";"1";"53";;;;;;;"22";"1";"53";"15";"3";"53"
;"21";"2";"54";"19";"2";"54";;;;"10";"7";"54";"22";"1";"54";"23";"1";"54";;;;;;;"22";"1";"54";"16";"3";"54"
;"22";"1";"55";"19";"2";"55";;;;"11";"7";"55";"22";"1";"55";"23";"1";"55";;;;;;;"22";"1";"55";"16";"3";"55"
;"22";"1";"56";"19";"2";"56";;;;"13";"7";"56";"22";"1";"56";"23";"1";"56";;;;;;;"22";"1";"56";"16";"3";"56"
;"23";"1";"57";"19";"2";"57";;;;"14";"6";"57";"22";"1";"57";"23";"1";"57";;;;;;;;;;"16";"3";"57"
;"23";"1";"58";"19";"2";"58";;;;"14";"6";"58";"22";"1";"58";"23";"1";"58";;;;;;;;;;"16";"3";"58"
;"23";"1";"59";"19";"2";"59";;;;"14";"6";"59";"22";"1";"59";"23";"1";"59";;;;;;;;;;"17";"2";"59"
;;;;"19";"2";"60";;;;"14";"6";"60";;;;"23";"1";"60";;;;;;;;;;"18";"2";"60"
;;;;"19";"2";"61";;;;"15";"6";"61";;;;"23";"1";"61";;;;;;;;;;"18";"2";"61"
;;;;"19";"2";"62";;;;"15";"6";"62";;;;"23";"1";"62";;;;;;;;;;"19";"2";"62"
;;;;"19";"2";"63";;;;"16";"5";"63";;;;"23";"1";"63";;;;;;;;;;"19";"2";"63"
;;;;"19";"2";"64";;;;"16";"5";"64";;;;"23";"1";"64";;;;;;;;;;"19";"2";"64"
;;;;"19";"1";"65";;;;"17";"3";"65";;;;"23";"1";"65";;;;;;;;;;"19";"2";"65"
;;;;"19";"1";"66";;;;"19";"3";"66";;;;"23";"1";"66";;;;;;;;;;"19";"2";"66"
;;;;"20";"1";"67";;;;"20";"3";"67";;;;"23";"1";"67";;;;;;;;;;"19";"2";"67"
;;;;;;;;;;"20";"3";"68";;;;"23";"1";"68";;;;;;;;;;"20";"1";"68"
;;;;;;;;;;"21";"1";"69";;;;"23";"1";"69";;;;;;;;;;"21";"1";"69"
;;;;;;;;;;"23";"1";"70";;;;"23";"1";"70";;;;;;;;;;"21";"1";"70"
;;;;;;;;;;"23";"1";"71";;;;"23";"1";"71";;;;;;;;;;"21";"1";"71"
;;;;;;;;;;"24";"1";"72";;;;"23";"1";"72";;;;;;;;;;"21";"1";"72"
;;;;;;;;;;"24";"1";"73";;;;"23";"1";"73";;;;;;;;;;"21";"1";"73"
;;;;;;;;;;;;;;;;"23";"1";"74";;;;;;;;;;"21";"1";"74"
;;;;;;;;;;;;;;;;"23";"1";"75";;;;;;;;;;"21";"1";"75"
;;;;;;;;;;;;;;;;"23";"1";"76";;;;;;;;;;;;
